Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,overperforming
ErgoTune,ergotunechair,N/A,2020-09-18 07:49:04 EDT,18/9/2020,7:49:04,Photo,7,7,0,0,FALSE,https://www.instagram.com/p/CFRtuVtAAc2/,https://www.instagram.com/p/CFRtuVtAAc2/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/119642518_2765853650324553_720677085531123496_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=nhfWLGb_nhQAX_OFmfh&_nc_oc=AQkUwJ1Z1-E7ZwYmHsP8606K3WBkGk9IZd17K2S4Eak2OLMZPuWutE9xgYAey7u2_-s&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=a73a6dc4533fa7e19d9e5ee7c33f185b&oe=612AA962,,,,,,0
Logitech G,logitechg,2827536,2020-10-16 18:00:09 EDT,16/10/2020,18:00:09,Photo,"5,723",5719,4,0,FALSE,https://www.instagram.com/p/CGa56MyM53b/,https://www.instagram.com/p/CGa56MyM53b/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/121506554_395194185190035_8006472524768638268_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=qAh-lE5g7t8AX_6nzK6&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c599efe5a33b72d7887be006d04ddbbf&oe=612B1A5B,,"It's almost time for our next #CreatorSpoitlight! Join @blackoni later today as he takes on the Xenomorph in Alien Isolation on our Twitch channel. 
.
.
.
#streaming #twitch #streamer #gaming #stream #gamer #logitechg #keepplaying",,,,0
Logitech G,logitechg,2793541,2020-10-01 18:01:11 EDT,1/10/2020,18:01:11,Photo,"6,054",6043,11,0,FALSE,https://www.instagram.com/p/CF0SGjRjHJm/,https://www.instagram.com/p/CF0SGjRjHJm/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/120345932_363594634681516_6366781222610812433_n.jpg?_nc_cat=105&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=qDCgaEBqWr8AX-1VHdw&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=687506584b140a7aa92b2715981d01a0&oe=6118F6FB,,"We have a brand new set of #CreatorSpotlight streamers for October. Come celebrate spooooooooky season with some of our favorite content creators live on our Twitch channel. 
.
.
.
#streaming #creatorspotlight #twitch #streamer #gaming #stream #gamer #logitechg #keepplaying",CREATLIGHT RORYPLAYS OCTOBER 9 BLACKONI OCTOBER 16 DOMESTICDAN OCTOBER23 ZOMBAEKILLZ OCTOBER30 #CREATORSPOTLIGHT #KEEPPLAYING,,,0
Logitech G,logitechg,2810887,2020-10-09 12:01:21 EDT,9/10/2020,12:01:21,Photo,"6,102",6090,12,0,FALSE,https://www.instagram.com/p/CGIPSFdjlOd/,https://www.instagram.com/p/CGIPSFdjlOd/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/121142029_3449745008449574_2787631168363562510_n.jpg?_nc_cat=105&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=XTUQcShnAZ4AX-1nBZh&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=ac1f99f6effaf5e46e3a3bc17ac0d281&oe=611A6264,,"It's time for us to kick off our spooky season of #CreatorSpotlight. Later today at 3pm, @roryplays will be taking over our Twitch channel to whip up some Halloween treats. Make sure you tune in live!
.
.
.
#streaming #twitch #streamer #gaming #stream #gamer #logitechg #keepplaying",OCTOBER9 CREATTLIGHT RORYPLAYS #CREATORSPOTLIGHT #KEEPPLA,,,0
Logitech G,logitechg,3163668,2021-01-19 18:00:09 EST,19/1/2021,18:00:09,Photo,"6,266",6251,15,0,FALSE,https://www.instagram.com/p/CKPoSzUJdnd/,https://www.instagram.com/p/CKPoSzUJdnd/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/140065154_416288186283557_1740606804864847493_n.jpg?_nc_cat=106&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=b8XUv1qBxVUAX--gRZy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=58a8c914b28fa1debc628fced050a63f&oe=6119CE75,,"Our #CreatorSpotlight is LIVE on Facebook and Twitch with your friendly neighborhood @Karimcheeseg and raising money for @AbleGamers Karim plays Spiderman. Links to channels in our bio.
.
.
.
#Spiderman #gaming #streaming #gamer #KeepPlaying #LogitechG",JANUARY CREATOR SPOTLIGHT ablegamers charity @KARIMCHEESEG ?? streamlabs charity,,,0
Logitech G,logitechg,3257255,2021-03-01 18:00:11 EST,1/3/2021,18:00:11,Photo,"6,466",6446,20,0,FALSE,https://www.instagram.com/p/CL5M46VL3DD/,https://www.instagram.com/p/CL5M46VL3DD/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/155897507_1888345234654255_8200778857141156911_n.jpg?_nc_cat=110&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=LQxo9kcIgz8AX-wnhNR&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=6a1e119196d2a7af08105ddca419c10c&oe=6119C47B,,"This month's #CreatorSpotlight will be led by the voices of our women creators in celebration of Women's History Month. Our streams will also be gathering additional support a new cause this month with The Trevor Project!

Join us live on Twitch and Facebook all month long!
.
.
.
#logitechg #streamer #twitch #gaming #pcgaming #womenshistorymonth #internationalwomensday",WOMEN'S HISTORY MONTH CREATOR SPOTLIGHT logitech X TREVOR Saving Young LGBTQ Lives 09 streamlabs charity,,,0
OMNIDESK SG,theomnidesk,N/A,2020-11-23 02:03:06 EST,23/11/2020,2:03:06,Video,14,14,0,832,FALSE,https://www.instagram.com/p/CH7JS3pHryH/,https://www.instagram.com/p/CH7JS3pHryH/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/127191295_424362898574076_2416179963521601887_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=gHq7ZF_vl4IAX8zIyte&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=45bb7c349c8ea0163952e8bd8625694d&oe=60975E70,,"Are you the lucky one to win the Q55 Android TV? Watch to find out ??

#omnidesk #omnideskpro2020 #giveaway #workfromhome #standingdesk",,,,0
Logitech G,logitechg,3436345,2021-07-01 03:00:13 EDT,1/7/2021,3:00:13,Photo,"6,781",6722,59,0,FALSE,https://www.instagram.com/p/CQxoAsPMa9T/,https://www.instagram.com/p/CQxoAsPMa9T/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/209749738_813882492651069_2308729158787226029_n.jpg?_nc_cat=106&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=zeqCLlzhURQAX_Yl3z6&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c964c37f0d28a631dbe88b1bd50410fe&oe=611A1F9B,,"The Logitech McLaren G Challenge 2021 officially started! ??

Open Wheel – Okayama ????
Sports – Spa-Francorchamps ????
Stock – Charlotte Motor Speedway ????

Goodluck with qualifying! The top 30 drivers will race against each other on July 30 and 31st! https://g.logi.link/s3d67",HARLOTTE (+CHALLENGE21 McLaren TOTAL 2 TOTAL TOTAL JULY 1ST JULY 26TH ROUND 1 STARTS NOW GET READY TO RACE! splunk> QNTMPAY,,,0
OMNIDESK SG,theomnidesk,N/A,2020-11-13 02:00:37 EST,13/11/2020,2:00:37,Photo,15,14,1,0,FALSE,https://www.instagram.com/p/CHhZOYdsCkS/,https://www.instagram.com/p/CHhZOYdsCkS/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/124863877_190241992680683_3763783252048866687_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=gEgokpUN3KYAX_ZeRbT&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=69593f371f2cbe80f593a588aa21e62f&oe=60974828,,"Happy Diwali! Our showroom will be open tomorrow from 12-6pm so come on down to experience the ultimate standing desk. It's also the last few days of our 11.11 Sale so don't miss out!?
?
#omnideskpro #omnideskpro2020 #ergonomic #standingdesk #ergonomicfurniture #desksetup #setup #ergonomicfurniture #officedecor #setupsaturday #homeofficedecor #workfromhome #wfh #standingdesk",,,,0
Logitech G,logitechg,3421202,2021-06-05 15:00:12 EDT,5/6/2021,15:00:12,Photo,"7,067",7019,48,0,FALSE,https://www.instagram.com/p/CPv9vQcnDTB/,https://www.instagram.com/p/CPv9vQcnDTB/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/196028152_198117385502647_2847692121789153792_n.jpg?_nc_cat=104&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=nPtApg9luKIAX_-he1U&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=9390c45bcf14ed04e4d5c5c011455750&oe=61193423,,"We’re on a mission to net 0?

Our commitment to global restoration continues this World Environment Day. Learn more about our ongoing projects at the link in bio. 

.
#LogitechG #KeepPlaying #PCGaming #Gamer #Gaming #WorldEnvironmentDay #CarbonNeutral #CarbonImpact #Sustainability","""Everything we make has an impact on the world. We pledge to future generations that we will use our resources and leadership to make a positive and sustainable impact"" Prakash Arunkundrum, Head of Global Operations Logitech",,,0
Logitech G,logitechg,3432215,2021-06-23 12:00:21 EDT,23/6/2021,12:00:21,Photo,"7,189",7164,25,0,FALSE,https://www.instagram.com/p/CQd_dsijY7Z/,https://www.instagram.com/p/CQd_dsijY7Z/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/205141373_131839395688590_5787637511694003628_n.jpg?_nc_cat=109&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=bsiOHl4TGOIAX8NTSXq&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c4432edf76833cef93c44b6b38f268f5&oe=6119DAC6,,"We're headed back to the track for the Logitech McLaren G Challenge Pro-Am! 

Two elite drivers and their teams will square off on July 7th, 12pm PDT live on Logitech G's Twitch.

Who will take the top spot on the podium?

Team @LandoNorris ??
Team @WilliamByron ?? 
 
Stay locked in as we announce more participants and follow @logitechgesport for more updates.
.
.
.
#LogitechG #McLaren #McLarenF1 #FormulaOne #LogitechGEsports #Esports #ProAm #SimRacing #NASCAR",,,,0
Logitech G,logitechg,3148889,2021-01-13 12:00:19 EST,13/1/2021,12:00:19,Photo,"7,192",7165,27,0,FALSE,https://www.instagram.com/p/CJ_iV-ZMpcY/,https://www.instagram.com/p/CJ_iV-ZMpcY/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/137638678_226848765694613_9015035902622835422_n.jpg?_nc_cat=100&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=sct_RE4hfDsAX-TBlTV&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=a550f2885a0a0ab8518c42b18fc95133&oe=61194999,,"We're kicking off our 2021 #CreatorSpotlight series by continuing our charitable efforts from December and raising funds for @AbleGamers with KarimCheese, LyssaTV, MDee14, and AlexisAyeee_. Tune in next week on Twitch and Facebook.
.
.
.
#CreatorSpotlight #streaming #charity #charityfundraising #AbleGamers #KeepPlaying #LogitechGn","?4 people, ?'?JANUARY CREATOR SPOTLIGHT ablegamers charity ????? @KARIMCHEESEG @LYSSA_TV ?0 @ALEXISAYEEE @MDEE14 streamlabs charity?'??",,,0
ErgoTune,ergotunechair,N/A,2020-09-18 07:47:41 EDT,18/9/2020,7:47:41,Photo,9,9,0,0,FALSE,https://www.instagram.com/p/CFRtkLbAkF8/,https://www.instagram.com/p/CFRtkLbAkF8/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/119889654_997517250715637_5661371726261052633_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=oBZmr_7DqvQAX-pfeiL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=79d0aa38aad0902bab693ec97c1fe11b&oe=6128CB8A,,#ergotunechair,,,,0
SteelSeries,steelseries,1049390,2021-03-05 13:03:49 EST,5/3/2021,13:03:49,Album,"5,394",5340,54,0,FALSE,https://www.instagram.com/p/CMC-KF1hEWg/,https://www.instagram.com/p/CMC-KF1hEWg/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/156939118_449114446206579_6846903435738944753_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=orlSPr1kXuMAX-0og6a&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=207aa4badd81ba71f96cafc3714f604b&oe=606853EF,,"Thrilled to announce SteelSeries’ 24-Hour International Women’s Day Stream!  SWIPE for schedule ??

We’ve gathered our mods, staff, & sponsored creators for a 24-hour party with fun & giveaways, all while raising money for some amazing organizations.

See you March 8th @ 12pm CST ??",,,,0
R?Z?R,razer,6950980,2021-06-12 23:00:11 EDT,12/6/2021,23:00:11,Photo,"12,348",12336,12,0,FALSE,https://www.instagram.com/p/CQC2OrEDINT/,https://www.instagram.com/p/CQC2OrEDINT/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/200208089_756617455007704_4818851311318954541_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=kGutNJNCZzIAX-iGR68&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=b195b05bb7b340cb8ba350bf437d199f&oe=60CB0608,,"Last chance to enter our RazerStore LIVE E3 edition giveaway – stand a chance to win the Razer Iskur, Razer Wolverine V2, Razer Kaira Pro and more when you sign up at our link in bio. We’ve prepared a host of exciting announcements, giveaways and offers from @nortongaming_ so don’t miss the Razer E3 Keynote or RazerStore LIVE E3 edition starting on June 14th at 3:00PM PDT.",E32021 RAZER STORE LIVE PDT 06.14.21 3:50PM EXCLUSIVE NEWS ON EXCLUSIVE PRODUCTS,,,0
Logitech G,logitechg,3421629,2021-05-20 15:00:20 EDT,20/5/2021,15:00:20,Photo,"7,944",7920,24,0,FALSE,https://www.instagram.com/p/CPGxCP1FoKr/,https://www.instagram.com/p/CPGxCP1FoKr/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/188953160_390395375461374_2115120142476577096_n.jpg?_nc_cat=106&ccb=1-4&_nc_sid=8ae9d6&_nc_ohc=XpeCHus8zXIAX84nwPI&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=66bab352a79dd33960a3b04db1fb13c7&oe=6118BBA3,,"We are committed to creating a world where gaming is accessible for everyone. 

From the Adaptive Gaming Kit to the Adaptive Esports Tournament, we’re on a mission to make play for all. 

Check out our stream today at 2pm PT with @stevenspohnofficial from @ablegamers joining at 3:15 PT at Twitch.tv/LogitechG
.
.
#LogitechG #KeepPlaying #PCGaming #Gamer #Gaming #accessibility #adaptivegamingkit #accessibilityawarenessday #globalaccessibilityawarenessday #ablegamers",BATTERY LIGHTSPEED F6 F8 PLAY FOR ALL Global Accessibility Awareness Day C logitech ALT FN ç,,,0
R?Z?R,razer,6839847,2021-04-07 21:50:06 EDT,7/4/2021,21:50:06,Photo,"12,446",12424,22,0,FALSE,https://www.instagram.com/p/CNYxwDHjFnr/,https://www.instagram.com/p/CNYxwDHjFnr/,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/169558404_124535376316904_4981320718288646586_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=ewnEWJYsynAAX_zcDkw&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=a9c3625870f32354ded664e69e0062d6&oe=60951CCC,,"We’ve teamed up with @crowfallgame to give you access to their closed beta—a throne war arena where only one team survives. Redeem your key now and join the battle to receive an exclusive Razer Serpent Sigil that comes equipped with a bonus stat!

Already play? Prove your worth by joining the Eternal Champion Series where you can win up to $50,000 in gear and cash. The series will take place from May 1st – May 30th. Sign-up to enter. Link in bio.",CROWFALL HUNGERDOME CROWFAL ETERNAL CHAMPIONS 2021 REDEEM YOUR CODE TO JOIN THE BATTLE IN THE CROWFALL BETA NOW Receive a Razer Serpent igil equipped with a bonus stat,,,0
